month_year,location,Drone_Count,location,Fatality_Count
2022-03,,1,Trostyanets,0
2022-03,,1,"Velyka Danylivka, Kharkiv",0
2022-03,,1,Velyka Dymerka,0
2022-03,,1,Vinnytsia,0
2022-03,,1,Yasinovataya,0
2022-03,,1,"Zatoka, Odessa Region",0
2022-03,,1,"Zavorychi, Kyiv vicinity",0
2022-03,,1,Zhuravlevka,0
2022-03,,1,"Zolochiv, Kharkiv",0
2022-03,,1,"_x000D_
Poltava",0
2022-03,,1,"_x000D_
Zhytomyr",0
2022-04,,1,Bakhmut,0
2022-04,,1,Belgorod,0
2022-04,,1,Bezimenne,0
2022-04,,1,Borodyanka,0
2022-04,,1,Boyaro-Lezhachi,0
2022-04,,1,Bucha,7
2022-04,,1,Cherkaske,0
2022-04,,1,Chernihiv,0
2022-04,,1,Chuhuiv,0
2022-04,,1,"Chuhuiv, Kharkiv",0
2022-04,,1,Dmytrivka,3
2022-04,,1,Dnipropetovsk,0
2022-04,,1,Donetsk,1/0/1900 0:00
2022-04,,1,Dontesk,0
2022-04,,1,Enerhodar,0
2022-04,,1,"Gorenka, Bucha district",0
2022-04,,1,"Gorkr Park, Kharkiv",0
2022-04,,1,Gostomel,0
2022-04,,1,Homstomel,0
2022-04,,1,"Irmino, Luhansk",0
2022-04,,1,Irpin,0
2022-04,,1,Kharkiv,2
2022-04,,1,"Kharkiv, Klochkivska Street",0
2022-04,,1,Kherson,0
2022-04,,1,"Kirovsky district, Donetsk city",0
2022-04,,1,"Kirovsky, Donetsk",0
2022-04,,1,"Klimovo, Bryansk, Russia",0
2022-04,,1,"Korabel'nyi district, Mykolaiv",0
2022-04,,1,Kramatorsk,5
2022-04,,1,Kyiv,1
2022-04,,1,Kyiv oblast,0
2022-04,,1,"Kyselivka, Kherson",0
2022-04,,1,Luhansk,0
2022-04,,1,Lviv,0
2022-04,,1,Lyman,0
2022-04,,1,"Marinka, Donetsk",0
2022-04,,1,Mariupol,0
2022-04,,1,Mykolaiv,9
2022-04,,1,Nova Kakhovka,0
2022-04,,1,Novotoshkivske,0
2022-04,,1,Odessa,0
2022-04,,1,"Popasna, Luhansk",0
2022-04,,1,"Pushcha-Vodytsya, Kyiv",0
2022-04,,1,Rubizhne,0
2022-04,,1,"Rubizhne, Luhansk",0
2022-04,,1,Severodonetsk,0
2022-04,,1,Shahtarsk,0
2022-04,,1,Slovyansk,0
2022-04,,1,"Tiraspol, Moldova",0
2022-04,,1,"Vasyshcheve, Kharkiv",0
2022-04,,1,Zaporizha,0
2022-04,,1,Zaporizhzhia,0
2022-04,,1,Zaporozhye,0
2022-05,,1,"Adamivka, Donetsk",0
2022-05,,1,Adiivka,0
2022-05,,1,"Derhachi, Kharkiv",0
2022-05,,1,Dnipro,0
2022-05,,1,Dnipropetrovsk,0
2022-05,,1,Donesk,0
2022-05,,1,Donetsk,0
2022-05,,1,Horokhovatka,0
2022-05,,1,Kharkiv,0
2022-05,,1,Kyiv,2
2022-05,,1,Luhansk,0
2022-05,,1,Lyman,0
2022-05,,1,"Lyman, Donetsk",0
2022-05,,1,Lysychans'k,0
2022-05,,1,Mariupol,0
2022-05,,1,Melitopol,0
2022-05,,1,Mykolaiv,0
2022-05,,1,Novhorod-Sivers'kyi,0
2022-05,,1,Odessa,0
2022-05,,1,Okhtyrka,0
2022-05,,1,"Popasnaya, Luhansk",0
2022-05,,1,Rubizhne,0
2022-05,,1,Saltikva,0
2022-05,,1,Severodonetsk,0
2022-05,,1,Shandryholove,0
2022-05,,1,"Soledar, Donetsk",0
2022-05,,1,"Solkhi, Belgorod, Russia",1
2022-05,,1,"Staryi Saltiv, Kharkiv",2
2022-05,,1,Svyatogorsk,3
2022-05,,1,"Tekstilshchiki, Donetsk city",0
2022-05,,1,Tsyrkuny,0
2022-05,,1,Vozdvyzhenka,0
2022-05,,1,Zaporizhzhia,0
2022-05,,1,Zheleznodorozhny,0
2022-06,,1,?,0
2022-06,,1,Adiivka,0
2022-06,,1,Berdyansk,0
